NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
1,0,0,1,0,0,1,0,0,0,0,1,0,22,8,0,1.25
0,0,1,1,0,0,0,0,1,1,0,1,0,8,8,0,1.34
0,0,0,0,1,1,0,0,0,0,0,0,1,8,160,0,2.23
1,0,1,1,1,0,0,0,0,1,0,1,0,22,8,2,2.75
1,1,1,0,0,0,0,0,0,1,1,0,0,44,8,0,3.04
0,0,1,0,0,1,0,1,0,1,0,1,1,22,160,0,3.63
0,0,1,1,0,0,0,0,1,1,0,0,0,44,8,1,4.05
1,0,1,0,0,0,0,0,0,1,1,1,1,48,8,2,4.06
1,0,1,1,1,1,0,0,0,1,0,1,0,48,320,0,4.58
0,0,1,0,0,1,0,1,0,0,0,1,1,48,320,0,6.91
0,0,1,0,0,0,0,0,0,1,1,0,0,44,8,0,9.621369793583455
1,1,1,1,0,1,1,1,1,0,1,1,1,44,160,0,9.62149185680042
0,0,1,1,0,0,0,1,1,0,0,1,1,8,8,2,9.621529903636663
1,0,1,0,1,1,1,1,0,1,0,0,1,22,8,0,9.622340974082386
0,0,1,1,0,0,0,0,1,1,1,0,0,44,8,0,9.62234588091072
1,0,1,1,0,0,1,1,0,0,1,0,1,44,320,0,9.623040559030732
1,0,1,1,0,1,0,0,0,1,1,0,1,48,160,1,9.623189960831699
1,0,1,1,1,0,0,0,0,1,0,0,0,22,8,2,9.623222234241055
1,0,0,1,1,0,1,0,0,0,1,0,1,44,320,0,9.62330814086781
1,1,0,0,1,1,0,0,0,1,0,1,0,48,320,0,9.623313197423983
