NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,workload
1,0,1,0,0,0,0,0,1,1,0,1,1,8,8,0,single-channel.wav
1,1,1,0,0,0,1,0,0,1,0,1,0,8,8,1,single-channel.wav
0,0,1,0,1,1,0,0,0,1,0,1,1,8,160,0,single-channel.wav
0,0,0,0,0,0,0,1,0,0,0,0,1,8,8,0,single-channel.wav
1,0,0,0,0,0,0,1,0,0,0,0,1,8,320,0,single-channel.wav
0,0,0,1,0,0,0,0,0,1,1,1,0,44,160,0,single-channel.wav
0,1,0,0,0,1,1,0,0,0,0,0,0,22,8,0,single-channel.wav
1,1,1,0,0,0,0,1,0,0,0,1,0,44,8,0,single-channel.wav
1,0,1,0,0,0,1,0,0,1,0,1,1,22,8,2,single-channel.wav
0,0,1,0,1,1,0,0,0,1,0,1,1,22,320,0,single-channel.wav
1,0,1,0,0,0,1,0,0,1,0,0,1,44,8,0,single-channel.wav
1,0,0,0,0,0,0,0,1,1,0,1,1,48,8,0,single-channel.wav
0,0,0,0,0,1,0,0,0,0,1,0,1,48,320,0,single-channel.wav
0,0,0,1,0,0,0,0,1,1,0,0,1,48,160,0,single-channel.wav
1,1,1,1,1,1,0,0,0,1,1,0,0,22,320,0,single-channel.wav
0,0,0,0,1,1,0,1,1,1,0,0,1,48,320,0,single-channel.wav
1,1,0,0,1,1,0,0,1,0,1,0,0,44,160,1,single-channel.wav
1,0,0,0,1,1,0,0,0,0,1,0,0,44,8,0,single-channel.wav
1,1,1,0,0,0,1,0,0,0,0,1,0,8,8,1,single-channel.wav
1,1,1,0,0,0,0,0,1,1,0,1,0,22,320,0,single-channel.wav
1,1,1,0,0,0,1,0,0,1,0,1,0,8,8,1,helix.wav
1,1,1,0,0,0,1,0,0,1,0,1,0,8,8,1,helix.wav
1,0,1,0,0,0,0,0,1,1,0,1,1,8,8,0,helix.wav
1,0,1,0,0,0,0,0,1,1,0,1,1,8,8,0,helix.wav
1,0,0,0,0,0,0,1,0,0,0,0,1,8,8,0,helix.wav
1,1,1,0,0,0,1,0,0,1,0,1,0,22,8,1,helix.wav
0,0,1,0,1,1,0,0,0,1,0,1,1,8,160,0,helix.wav
0,0,1,0,1,1,0,0,0,1,0,1,1,8,160,0,helix.wav
1,0,1,0,0,0,0,0,1,1,0,1,1,8,8,2,helix.wav
0,1,0,0,0,1,1,0,0,0,0,0,0,22,8,0,helix.wav
0,1,0,0,0,1,1,0,0,0,0,0,0,22,8,0,helix.wav
1,0,0,0,0,0,0,1,0,0,0,0,1,8,320,0,helix.wav
1,0,0,0,0,0,0,1,0,0,0,0,1,8,320,0,helix.wav
0,0,0,0,0,0,0,1,0,0,0,0,1,8,8,0,helix.wav
0,0,0,0,0,0,0,1,0,0,0,0,1,8,8,0,helix.wav
1,0,1,0,0,0,1,0,0,1,0,1,1,22,8,2,helix.wav
1,0,1,0,0,0,1,0,0,1,0,1,1,22,8,2,helix.wav
1,1,1,0,0,0,1,0,0,1,0,0,0,44,8,1,helix.wav
1,1,1,0,0,0,1,0,0,1,0,1,0,48,8,1,helix.wav
0,0,0,0,0,1,0,0,0,1,1,1,1,22,320,0,helix.wav
